35,2565,Afghanistan
83,17089,Albania
32,NULL,Algeria
686,1778642,Andorra
3,1962,Angola
NULL,44072,Anguilla
31,17727,Antigua and Barbuda
144,22783,Argentina
282,64291,Armenia
56,165395,Aruba
18,215645,Australia
81,117760,Austria
50,84301,Azerbaijan
58,21457,Bahamas
105,592064,Bahrain
23,8535,Bangladesh
24,52285,Barbados
66,152093,Belarus
860,176773,Belgium
13,14030,Belize
3,8801,Benin
145,581621,Bermuda
NULL,86488,Bhutan
362,19005,Bolivia
157,51515,Bosnia and Herzegovina
1,39620,Botswana
528,64616,Brazil
33,62461,British Virgin Islands
7,112769,Brunei
77,51683,Bulgaria
3,NULL,Burkina Faso
0.08,1675,Burundi
13,6357,CAR
66,132720,Cabo Verde
NULL,4993,Cambodia
15,5595,Cameroon
240,131636,Canada
NULL,16149,Caribbean Netherlands
15,516171,Cayman Islands
5,NULL,Chad
276,396276,Channel Islands
558,110437,Chile
3,62814,China
318,46606,Colombia
8,NULL,Comoros
14,NULL,Congo
65,24769,Costa Rica
41,35235,Croatia
8,30589,Cuba
6,6578,Curaça
17,218392,Cyprus
38,76565,Czechia
3,NULL,DRC
107,358091,Denmark
NULL,NULL,Diamond Princess
60,64116,Djibouti
NULL,22858,Dominica
139,30883,Dominican Republic
351,16821,Ecuador
51,1316,Egypt
99,44418,El Salvador
59,34935,Equatorial Guinea
NULL,NULL,Eritrea
47,104146,Estonia
70,24427,Eswatini
5,6018,Ethiopia
NULL,1642742,Faeroe Islands
NULL,645863,Falkland Islands
1,7459,Fiji
60,93458,Finland
467,91892,France
180,161444,French Guiana
NULL,35257,French Polynesia
24,46771,Gabon
33,4445,Gambia
4,79021,Georgia
111,121656,Germany
8,13841,Ghana
NULL,841971,Gibraltar
23,78386,Greece
NULL,113518,Greenland
NULL,55526,Grenada
37,58943,Guadeloupe
140,11871,Guatemala
4,1288,Guinea
17,760,Guinea-Bissau
37,8261,Guyana
17,1874,Haiti
162,12890,Honduras
10,103981,Hong Kong
63,40394,Hungary
29,561236,Iceland
40,23636,India
23,7192,Indonesia
241,34940,Iran
154,33929,Iraq
359,148747,Ireland
282,110734,Isle of Man
86,237029,Israel
586,128878,Italy
4,4426,Ivory Coast
5,16610,Jamaica
9,9962,Japan
1,70566,Jordan
75,121832,Kazakhstan
10,7391,Kenya
119,134980,Kuwait
229,40944,Kyrgyzstan
NULL,4860,Laos
18,123686,Latvia
17,65050,Lebanon
14,5611,Lesotho
16,NULL,Liberia
25,12855,Libya
26,23595,Liechtenstein
30,218825,Lithuania
198,1126386,Luxembourg
NULL,NULL,MS Zaandam
NULL,6258,Macao
6,1942,Madagascar
9,2137,Malawi
4,35535,Malaysia
44,184996,Maldives
6,1610,Mali
20,376602,Malta
43,32586,Martinique
34,14762,Mauritania
8,161379,Mauritius
143,47502,Mayotte
453,9383,Mexico
228,45609,Moldova
102,1322632,Monaco
NULL,14103,Mongolia
129,70404,Montenegro
200,12220,Montserrat
21,45187,Morocco
0.6,2623,Mozambique
0.1,2590,Myanmar
16,17960,Namibia
4,30083,Nepal
361,76591,Netherlands
NULL,41410,New Caledonia
4,131446,New Zealand
20,NULL,Nicaragua
3,372,Niger
5,1705,Nigeria
266,63596,North Macedonia
49,108447,Norway
119,60353,Oman
28,10673,Pakistan
23,41991,Palestine
426,66445,Panama
0.4,1610,Papua New Guinea
24,23250,Paraguay
818,86336,Peru
26,19981,Philippines
51,63672,Poland
175,184473,Portugal
69,203815,Qatar
164,82783,Romania
110,229541,Russia
0.8,27042,Rwanda
6,39521,Réunio
6,33819,S. Korea
NULL,26009,Saint Kitts and Nevis
NULL,26918,Saint Lucia
129,63193,Saint Martin
NULL,NULL,Saint Pierre Miquelon
1237,191833,San Marino
68,15621,Sao Tome and Principe
102,129021,Saudi Arabia
16,7997,Senegal
79,96474,Serbia
NULL,NULL,Seychelles
9,NULL,Sierra Leone
5,298108,Singapore
396,46179,Sint Maarten
6,55681,Slovakia
62,70752,Slovenia
6,NULL,Somalia
212,58581,South Africa
4,1074,South Sudan
616,170147,Spain
0.5,9102,Sri Lanka
NULL,171946,St. Barth
NULL,27327,St. Vincent Grenadines
18,9,Sudan
94,10026,Suriname
574,101900,Sweden
231,105073,Switzerland
5,NULL,Syria
0.3,3592,Taiwan
7,NULL,Tajikistan
0.4,NULL,Tanzania
0.8,10730,Thailand
NULL,3206,Timor-Leste
3,6713,Togo
9,12882,Trinidad and Tobago
5,10071,Tunisia
72,71770,Turkey
52,50015,Turks and Caicos
37,632496,UAE
609,223407,UK
536,222984,USA
0.4,7332,Uganda
50,31049,Ukraine
12,44435,Uruguay
8,41089,Uzbekistan
NULL,NULL,Vatican City
11,59056,Venezuela
0.3,8385,Vietnam
2,NULL,Western Sahara
102.2,NULL,World
18,4,Yemen
15,5584,Zambia
10,10056,Zimbabwe
